Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,LatDiff,LongDiff
200 AVENUE OF CHAMPIONS,200 AVENUE OF CHAMPIONS,Gatehouse Student Center,Gatehouse Student Center,170,170,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039549,-84.501734
470 ROSE LN,470 ROSE LN,Alpha Gamma Rho Fraternity (AGR),Alpha Gamma Rho Fraternity (AGR),172,172,Lexington,Lexington,0,0,KY,KY,38.033612,-84.497604,,
140 HUGUELET DR,140 HUGUELET DR,Gatehouse Med Plaza,Gatehouse Med Plaza,173,173,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033138,-84.505823
305 HUGUELET DR,305 HUGUELET DR,Academic Science Building,Academic Science Building,174,174,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031734,-84.504161
140 HUGUELET DR,140 HUGUELET DR,Gatehouse Med Plaza,Gatehouse Med Plaza,175,175,Lexington,Lexington,KY,KY,40506,40506,38.03417,-84.507069,-84.505823,0.002278
140 HUGUELET DR,140 HUGUELET DR,Gatehouse KY Clinic,Gatehouse KY Clinic,176,176,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033138,-84.505823
1510 COLLEGE WAY,1510 COLLEGE WAY,Residence Motor Pool,Residence Motor Pool,177,177,Lexington,Lexington,0,0,KY,KY,40546,40546,38.021526,-84.501982
449 HILLTOP AVE,449 HILLTOP AVE,Gatehouse Young Library,Gatehouse Young Library,178,178,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031622,-84.501924
113 STATE ST,113 STATE ST,113 STATE ST,113 STATE ST,180,180,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030429,-84.510882
685 SPORTS CENTER DR,685 SPORTS CENTER DR,Woodland Glen III,Woodland Glen III,181,181,Lexington,Lexington,0,0,Proposed Construction,KY,KY,40506,0.003257,0.001375
1525 COLLEGE WAY,1525 COLLEGE WAY,Isolation Barn Incinerator,Isolation Barn Incinerator,182,182,Lexington,Lexington,0,0,KY,KY,40536,40536,38.021553,-84.502007
1531 COLLEGE WAY,1531 COLLEGE WAY,Isolation Barn,Isolation Barn,183,183,Lexington,Lexington,0,0,KY,KY,40536,40536,38.021553,-84.502007
411 STADIUM VIEW,411 STADIUM VIEW,Agricultural Machine Research Lab,Agricultural Machine Research Lab,184,184,Lexington,Lexington,0,0,KY,KY,40546,40546,38.02031,-84.501818
1510 COLLEGE WAY,1510 COLLEGE WAY,Garage by Motor Pool Residence,Garage by Motor Pool Residence,185,185,Lexington,Lexington,0,0,KY,KY,40546,40546,38.021526,-84.501982
703 SPORTS CENTER DR,703 SPORTS CENTER DR,Woodland Glen IV,Woodland Glen IV,186,186,Lexington,Lexington,0,0,Proposed Construction,KY,KY,40506,0.001663,0.000379
1540 UNIVERSITY DR,Bus Shelter #5(Stadium Blue Lot),Bus Shelter #5(Stadium Blue Lot),187,187,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02094023,0.0010682,1
693 SPORTS CENTER DR,693 SPORTS CENTER DR,Woodland Glen V,Woodland Glen V,188,188,Lexington,Lexington,0,0,Proposed Construction,KY,KY,40506,0.002903,0.00029
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts A101-A315,Shawneetown Bldg A,Shawneetown Bldg A,189,189,Lexington,Lexington,0,0,KY,KY,40503,40503,38.010336,-84.532704
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts B101-B313,Shawneetown Bldg B,Shawneetown Bldg B,190,190,Lexington,Lexington,0,0,KY,KY,40503,40503,38.010336,-84.532704
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts D101-D313,Shawneetown Bldg D,Shawneetown Bldg D,191,191,Lexington,Lexington,0,0,KY,KY,40503,40503,38.019937,-84.510232
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts F101-F313,Shawneetown Bldg F,Shawneetown Bldg F,192,192,Lexington,Lexington,0,0,KY,KY,40503,40503,38.019937,-84.510232
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts E101-E315,Shawneetown Bldg E,Shawneetown Bldg E,193,193,Lexington,Lexington,0,0,KY,KY,40503,40503,38.010336,-84.532704
1608 UNIVERSITY CT,1608 UNIVERSITY CT Apts C101-C315,Shawneetown Bldg C,Shawneetown Bldg C,194,194,Lexington,Lexington,0,0,KY,KY,40503,40503,38.010336,-84.532704
180 AVENUE OF CHAMPIONS,180 AVENUE OF CHAMPIONS,Stoll Field Viewing Tower,Stoll Field Viewing Tower,196,196,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039828,-84.502039
1290 VETERANS DR,1290 VETERANS DR,Parking Garage No 1,Parking Garage No 1,197,197,Lexington,Lexington,0,0,KY,KY,40506,40506,38.028938,-84.506316
301 HILLTOP AVE,301 HILLTOP AVE,Parking Garage No 2,Parking Garage No 2,198,198,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033407,-84.50395
140 HUGUELET DR,140 HUGUELET DR,Parking Garage No 3,Parking Garage No 3,199,199,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033138,-84.505823
900 SOUTH LIMESTONE ST,900 SOUTH LIMESTONE ST,Wethington Allied Health Building,Wethington Allied Health Building,200,200,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032143,-84.50897
409 SOUTH LIMESTONE ST,409 SOUTH LIMESTONE ST,Parking Garage No 5,Parking Garage No 5,202,202,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041448,-84.503975
1037 SOUTH LIMESTONE ST,1037 SOUTH LIMESTONE ST,1037 SOUTH LIMESTONE ST,1037 SOUTH LIMESTONE ST,203,203,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030433,-84.51027
591 SOUTH UPPER ST,591 SOUTH UPPER ST,Cooling Plant #2,Cooling Plant #2,204,204,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041738,-84.505788
462 ROSE LN,462 ROSE LN,Phi Mu (Greek Park),Phi Mu (Greek Park),205,205,Lexington,Lexington,1,1,KY,KY,40506,40506,,
357 SCOTT ST,357 SCOTT ST,Arts Metal Bldg,Arts Metal Bldg,207,207,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039873,-84.507131
310 HILLTOP AVE,310 HILLTOP AVE,Centrifuge Building,Centrifuge Building,209,209,Lexington,Lexington,0,0,KY,KY,40536,40536,38.033299,-84.50388
355 SCOTT ST,355 SCOTT ST,Reynolds Warehouse No 4,Reynolds Warehouse No 4,210,210,Lexington,Lexington,0,0,KY,KY,40506,40506,38.039873,-84.507131
475 ROSE ST,475 ROSE ST,Maxwell Place Garage,Maxwell Place Garage,211,211,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036272,-84.50201
416 COMPLEX DR,416 COMPLEX DR,Lancaster Aquatics,Lancaster Aquatics,212,212,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258
454 COMPLEX DR,454 COMPLEX DR,Boone Tennis Center,Boone Tennis Center,213,213,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258
148 GRAHAM AVE,148 GRAHAM AVE,Flammable Storage Bldg,Flammable Storage Bldg,214,214,Lexington,Lexington,0,0,KY,KY,40506,40506,38.03546,-84.505754
325 COOPER DR,325 COOPER DR,Garrigus (W.P.) Bldg,Garrigus (W.P.) Bldg,215,215,Lexington,Lexington,0,0,KY,KY,40546,40546,38.026182,-84.505041
700 SOUTH LIMESTONE ST,700 SOUTH LIMESTONE ST,Multi-Disciplinary Research Lab No 3,Multi-Disciplinary Research Lab No 3,216,216,Lexington,Lexington,0,0,KY,KY,40536,40536,38.034895,-84.508323
587 SOUTH UPPER ST,587 SOUTH UPPER ST,Electric Substation #2,Electric Substation #2,217,217,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041841,-84.505641
1210 UNIVERSITY DR,1210 UNIVERSITY DR,Seaton Center,Seaton Center,219,219,Lexington,Lexington,0,0,KY,KY,40506,40506,38.028496,-84.504769
430 COMPLEX DR,430 COMPLEX DR,Bernard Johnson Student Rec Ctr,Bernard Johnson Student Rec Ctr,220,220,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258
1540 UNIVERSITY DR,1540 UNIVERSITY DR,Commonwealth Stadium,Commonwealth Stadium,222,222,Lexington,Lexington,0,0,KY,KY,40506,40506,38.023281,-84.506236
745 ROSE ST,745 ROSE ST,Warren Wright Medical Plaza,Warren Wright Medical Plaza,223,223,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032456,-84.507403
160 PATTERSON DR,160 PATTERSON DR,Lucille Caudill Little Fine Arts Library,Lucille Caudill Little Fine Arts Library,224,224,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037257,-84.502939
675 ROSE ST,675 ROSE ST,Morgan (T H ) Biological Sciences,Morgan (T H ) Biological Sciences,225,225,Lexington,Lexington,0,0,KY,KY,40546,40546,38.033518,-84.505901
452 COMPLEX DR,452 COMPLEX DR,Recreation Equipment Storage Bldg,Recreation Equipment Storage Bldg,227,227,Lexington,Lexington,0,0,KY,KY,40506,40506,38.029363,-84.505258
412 STADIUM VIEW,412 STADIUM VIEW,Agricultural Distribution Center,Agricultural Distribution Center,229,229,Lexington,Lexington,0,0,KY,KY,40546,40546,38.02018,-84.501885
800 SOUTH LIMESTONE ST,800 SOUTH LIMESTONE ST,Sanders-Brown Gerontology Center,Sanders-Brown Gerontology Center,230,230,Lexington,Lexington,0,0,KY,KY,40536,40536,38.033185,-84.508924
1521 COLLEGE WAY,1521 COLLEGE WAY,Farm Maintenance Storage Shed,Farm Maintenance Storage Shed,231,231,Lexington,Lexington,0,0,KY,KY,40546,40546,38.021553,-84.502007
751 ROSE ST,751 ROSE ST,Nursing Learning Center,Nursing Learning Center,232,232,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03261,-84.507579
460 COOPER DR,460 COOPER DR,John W Oswald Bldg,John W Oswald Bldg,235,235,Lexington,Lexington,3,3,KY,KY,40546,40546,38.025425,-84.501011
1401 UNIVERSITY DR,1401 UNIVERSITY DR,Tobacco & Health Research Institute,Tobacco & Health Research Institute,236,236,Lexington,Lexington,0,0,KY,KY,40546,40546,38.025675,-84.507155
600 ROSE ST,600 ROSE ST,Wenner-Gren Research Addition,Wenner-Gren Research Addition,237,237,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034111,-84.505031
468 ROSE LN,468 ROSE LN,468 ROSE LN,468 ROSE LN,240,240,Lexington,Lexington,0,0,KY,KY,40508,40508,38.033613,-84.497888
405 ROSE ST,405 ROSE ST,Singletary Center for the Arts,Singletary Center for the Arts,241,241,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037758,-84.501121
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 1,Greg Page Apartments 1,243,243,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 2,Greg Page Apartments 2,244,244,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 3,Greg Page Apartments 3,245,245,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 4,Greg Page Apartments 4,246,246,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 5,Greg Page Apartments 5,247,247,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 6,Greg Page Apartments 6,248,248,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 7,Greg Page Apartments 7,249,249,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 8,Greg Page Apartments 8,250,250,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 10,Greg Page Apartments 10,252,252,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 11,Greg Page Apartments 11,253,253,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 12,Greg Page Apartments 12,254,254,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 13,Greg Page Apartments 13,255,255,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 14,Greg Page Apartments 14,256,256,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 15,Greg Page Apartments 15,257,257,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 16,Greg Page Apartments 16,258,258,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 17,Greg Page Apartments 17,259,259,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 18,Greg Page Apartments 18,260,260,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 19,Greg Page Apartments 19,261,261,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 20,Greg Page Apartments 20,262,262,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 21,Greg Page Apartments 21,263,263,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 22,Greg Page Apartments 22,264,264,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 23,Greg Page Apartments 23,265,265,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 24,Greg Page Apartments 24,266,266,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR,300 ALUMNI DR,Greg Page Apartments 25,Greg Page Apartments 25,267,267,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
300 ALUMNI DR Suite 213,300 ALUMNI DR Suite 213,Greg Page Food Storage Laundry,Greg Page Food Storage Laundry,268,268,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
430 STADIUM VIEW,430 STADIUM VIEW,Communications Building,Communications Building,269,269,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
1510 UNIVERSITY DR,1510 UNIVERSITY DR,Information Building (Ticket Booth),Information Building (Ticket Booth),272,272,Lexington,Lexington,0,0,KY,KY,40506,40506,38.024634,-84.506887
450 COOPER DR,450 COOPER DR,Moloney Building (BCTC),Moloney Building (BCTC),274,274,Lexington,Lexington,3,3,KY,KY,40506,40506,38.025446,-84.501119
1600 UNIVERSITY CT,1600 UNIVERSITY CT,Bruce Poundstone Regulatory Services Bldg,Bruce Poundstone Regulatory Services Bldg,275,275,Lexington,Lexington,0,0,KY,KY,40546,40546,38.020603,-84.510093
1398 NICHOLASVILLE RD,1398 NICHOLASVILLE RD,Barnhart Building (C.E. Barnhart),Barnhart Building (C.E. Barnhart),276,276,Lexington,Lexington,0,0,KY,KY,40546,40546,38.027278,-84.510943
720 SPORTS CENTER DR,720 SPORTS CENTER DR,Nutter Football Training Facility,Nutter Football Training Facility,277,277,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178
435 STADIUM VIEW,435 STADIUM VIEW,PPD Storage Bldg,PPD Storage Bldg,278,278,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
460 STADIUM VIEW,460 STADIUM VIEW,BIRP Building,BIRP Building,279,279,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
295 ALUMNI DR,295 ALUMNI DR,The Football Training Facility,The Football Training Facility,280,280,Lexington,Lexington,0,0,KY,KY,40506,40506,,
508 ADMINISTRATION DR,508 ADMINISTRATION DR,Oliver H. Raymond Civil Engineering,Oliver H. Raymond Civil Engineering,281,281,Lexington,Lexington,0,0,KY,KY,40506,40506,38.038974,-84.506737
390 COLUMBIA AVE,390 COLUMBIA AVE,Gas Storage Bldg. M&M,Gas Storage Bldg. M&M,282,282,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034533,-84.501456
700 SPORTS CENTER DR,700 SPORTS CENTER DR,Hagan Baseball Stadium,Hagan Baseball Stadium,283,283,Lexington,Lexington,0,0,KY,KY,40506,40506,38.032312,-84.527542
740 SOUTH LIMESTONE ST,740 SOUTH LIMESTONE ST,Kentucky Clinic,Kentucky Clinic,284,284,Lexington,Lexington,0,0,KY,KY,40536,40536,38.033829,-84.507915
1401 SPORTS CENTER DR,1401 SPORTS CENTER DR,Nutter Field House,Nutter Field House,285,285,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178
145 GRAHAM AVE,145 GRAHAM AVE,ASTeCC,ASTeCC,286,286,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035488,-84.505736
425 STADIUM VIEW,425 STADIUM VIEW,Electric HVAC Bldg,Electric HVAC Bldg,287,287,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
455 STADIUM VIEW,455 STADIUM VIEW,PPD Greenhouse,PPD Greenhouse,288,288,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
475 STADIUM VIEW,475 STADIUM VIEW,Hazardous Waste Storage,Hazardous Waste Storage,289,289,Lexington,Lexington,0,0,KY,KY,40506,40506,38.02018,-84.501885
800 ROSE ST,800 ROSE ST,UK Hospital-Chandler Medical Center & Hospital,UK Hospital-Chandler Medical Center & Hospital,293,293,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03186,-84.508632
842 ROSE ST,842 ROSE ST,Gill Heart Institute (Pavilion G),Gill Heart Institute (Pavilion G),294,294,Lexington,Lexington,0,0,KY,KY,40536,40536,38.032053,-84.507908
800 ROSE ST,Dental Science Bldg,Dental Science Bldg,297,297,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03130866,0.00235419,1
800 ROSE ST,William R. Willard Medical Education Bldg,William R. Willard Medical Education Bldg,298,298,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03101112,0.00191791,1
510 ALUMNI DR,510 ALUMNI DR,Arboretum Tool Shed,Arboretum Tool Shed,300,300,Lexington,Lexington,0,0,KY,KY,40546,40546,38.018706,-84.505024
154 BONNIE BRAE DR,154 BONNIE BRAE DR,154 Bonnie Brae/Rental,154 Bonnie Brae/Rental,301,301,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036137,-84.509927
500 ALUMNI DR,500 ALUMNI DR,Arboretum Visitor Center,Arboretum Visitor Center,302,302,Lexington,Lexington,0,0,KY,KY,40503,40503,38.019103,-84.505272
500 ALUMNI DR,500 ALUMNI DR,Arboretum Restrooms,Arboretum Restrooms,303,303,Lexington,Lexington,0,0,KY,KY,40503,40503,,
1095 VETERANS DR,1095 VETERANS DR,Health Sciences Research Bldg,Health Sciences Research Bldg,305,305,Lexington,Lexington,0,0,KY,KY,40536,40536,38.028938,-84.506316
1405 VETERANS DR,1405 VETERANS DR,Plant Science Building,Plant Science Building,312,312,Lexington,Lexington,0,0,KY,KY,40503,40503,38.026492,-84.508544
455 WOODLAND AVE,455 WOODLAND AVE,455 WOODLAND AVE,455 WOODLAND AVE,313,313,Lexington,Lexington,0,0,KY,KY,40508,40508,38.033354,-84.497976
252 EAST MAXWELL ST,252 EAST MAXWELL ST,Environmental Health and Safety,Environmental Health and Safety,314,314,Lexington,Lexington,0,0,KY,KY,40508,40508,38.039848,-84.498398
206 EAST MAXWELL ST,206 EAST MAXWELL ST,KY  Humanities Council,KY  Humanities Council,315,315,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041035,-84.499147
408 PENNSYLVANIA CT,408 PENNSYLVANIA CT,408 Pennsylvania Court,408 Pennsylvania Court,317,317,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034256,-84.500064
315 SCOTT ST,315 SCOTT ST,315 SCOTT ST,315 SCOTT ST,324,324,Lexington,Lexington,0,0,KY,KY,40508,40508,38.041344,-84.509229
317 SCOTT ST,317 SCOTT ST,317 SCOTT ST,317 SCOTT ST,325,325,Lexington,Lexington,0,0,KY,KY,40508,40508,38.041403,-84.509274
321 SCOTT ST,321 SCOTT ST,321 SCOTT ST,321 SCOTT ST,327,327,Lexington,Lexington,0,0,KY,KY,40508,40508,38.041503,-84.509349
641 SOUTH LIMESTONE ST,641 SOUTH LIMESTONE ST,Appalachian Center Annex,Appalachian Center Annex,333,333,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036639,-84.508042
663 SOUTH LIMESTONE ST,663 SOUTH LIMESTONE ST,Thomas D Clark Bldg,Thomas D Clark Bldg,336,336,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035644,-84.508474
663 SOUTH LIMESTONE ST,663 SOUTH LIMESTONE ST,Thomas D Clark Bldg Garage,Thomas D Clark Bldg Garage,337,337,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035644,-84.508474
218 EAST MAXWELL ST,218 EAST MAXWELL ST,Bingham Davis House,Bingham Davis House,343,343,Lexington,Lexington,0,0,KY,KY,40508,40508,38.040886,-84.498812
232 EAST MAXWELL ST,232 EAST MAXWELL ST,Raymond F. Betts House,Raymond F. Betts House,344,344,Lexington,Lexington,0,0,KY,KY,40508,40508,38.040684,-84.498222
212 EAST MAXWELL ST,212 EAST MAXWELL ST,Max Kade German House,Max Kade German House,345,345,Lexington,Lexington,0,0,KY,KY,40508,40508,38.040925,-84.499029
654 MAXWELTON CT,654 MAXWELTON CT,654 MAXWELTON CT,654 MAXWELTON CT,346,346,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035965,-84.50899
624 MAXWELTON CT,624 MAXWELTON CT,Appalachian Center,Appalachian Center,347,347,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036593,-84.508356
626 MAXWELTON CT,626 MAXWELTON CT,626 MAXWELTON CT,626 MAXWELTON CT,348,348,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036702,-84.508574
641 MAXWELTON CT,641 MAXWELTON CT,School of Psychology Clinic,School of Psychology Clinic,349,349,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036595,-84.509446
643 MAXWELTON CT,643 MAXWELTON CT,Center on Drug and Alchohol Research,Center on Drug and Alchohol Research,350,350,Lexington,Lexington,0,0,KY,KY,40506,40506,38.03649,-84.509483
644 MAXWELTON CT,644 MAXWELTON CT,J. Harris Phsychological Services,J. Harris Phsychological Services,351,351,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036332,-84.508987
520 OLDHAM CT,520 OLDHAM CT,520 OLDHAM CT,520 OLDHAM CT,353,353,Lexington,Lexington,0,0,KY,KY,40502,40502,38.029926,-84.498
123 STATE ST,123 STATE ST,123 STATE ST,123 STATE ST,355,355,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030516,-84.511271
119 STATE ST,119 STATE ST,119 STATE ST,119 STATE ST,356,356,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030474,-84.511082
400 PENNSYLVANIA CT,400 PENNSYLVANIA CT,400 PENNSYLVANIA CT,400 PENNSYLVANIA CT,360,360,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034668,-84.500528
402 PENNSYLVANIA CT,402 PENNSYLVANIA CT,402 PENNSYLVANIA CT,402 PENNSYLVANIA CT,361,361,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034564,-84.500411
405 PENNSYLVANIA CT,405 PENNSYLVANIA CT,405 PENNSYLVANIA CT,405 PENNSYLVANIA CT,362,362,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034732,-84.499915
406 PENNSYLVANIA CT,406 PENNSYLVANIA CT,406 PENNSYLVANIA CT,406 PENNSYLVANIA CT,363,363,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034359,-84.50018
410 PENNSYLVANIA CT,410 PENNSYLVANIA CT,410 PENNSYLVANIA CT,410 PENNSYLVANIA CT,365,365,Lexington,Lexington,0,0,KY,KY,40508,40508,38.034154,-84.49995
319 ROSE LN,319 ROSE LN,319 ROSE LN,319 ROSE LN,377,377,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036691,-84.500391
321 ROSE LN,321 ROSE LN,321 ROSE LN,321 ROSE LN,378,378,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036611,-84.500305
162 GAZETTE AVE,162 GAZETTE AVE,162-164 GAZETTE AVEnue,162-164 GAZETTE AVEnue,381,381,Lexington,Lexington,0,0,KY,KY,40508,40508,38.03268,-84.511562
1313 NICHOLASVILLE RD,1313 NICHOLASVILLE RD,Sky Blue Solar House,Sky Blue Solar House,382,382,Lexington,Lexington,0,0,KY,KY,40508,40508,38.027416,-84.510934
150 GAZETTE AVE,150 GAZETTE AVE,150 GAZETTE AVEnue,150 GAZETTE AVEnue,386,386,Lexington,Lexington,0,0,KY,KY,40508,40508,38.032552,-84.51104
110 AVENUE OF CHAMPIONS,110 AVENUE OF CHAMPIONS,Bus Shelter #1-(Alumni Gym),Bus Shelter #1-(Alumni Gym),390,390,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041312,-84.503661
274 AVENUE OF CHAMPIONS,274 AVENUE OF CHAMPIONS,Bus Shelter #2-(Rose & Euclid),Bus Shelter #2-(Rose & Euclid),391,391,Lexington,Lexington,0,0,KY,KY,40506,40506,38.03824,-84.500269
503 ROSE ST,503 ROSE ST,Bus Shelter #3-(Chem-Physics),Bus Shelter #3-(Chem-Physics),392,392,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034788,-84.504117
440 COOPER DR,440 COOPER DR,Bus Shelter #7-(Corner LCC & Red Lot),Bus Shelter #7-(Corner LCC & Red Lot),393,393,Lexington,Lexington,0,0,KY,KY,40506,40506,38.025467,-84.501228
317 COOPER DR,317 COOPER DR,Bus Shelter #6-(Agr Sci & NICHOLASVILLE RD),Bus Shelter #6-(Agr Sci & NICHOLASVILLE RD),394,394,Lexington,Lexington,0,0,KY,KY,40506,40506,38.026247,-84.505401
1608 UNIVERSITY CT,1608 UNIVERSITY CT,Bus Shelter #9-(at exit @ Shawneetown),Bus Shelter #9-(at exit @ Shawneetown),397,397,Lexington,Lexington,0,0,KY,KY,40506,40506,38.019937,-84.510232
599 SOUTH UPPER ST,599 SOUTH UPPER ST,Bus Shelter #10-(at Taylor Educ.bldg),Bus Shelter #10-(at Taylor Educ.bldg),398,398,Lexington,Lexington,0,0,KY,KY,40506,40506,38.041503,-84.506043
639 SOUTH LIMESTONE ST,639 SOUTH LIMESTONE ST,Bus Shelter #11,Bus Shelter #11,399,399,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036633,-84.507722
630 MAXWELTON CT,630 MAXWELTON CT,Ellen H. Richards House,Ellen H. Richards House,400,400,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036678,-84.508722
