Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,LatDiff,LongDiff
620 GLADSTONE AVE,620 GLADSTONE AVE,Gatehouse Gate 2,Gatehouse Gate 2,36,36,Lexington,Lexington,0,0,KY,KY,40506,40506,38.03498,-84.506171
109 STATE ST,109 STATE ST,109 STATE ST,109 STATE ST,37,37,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030383,-84.510682
169 FUNKHOUSER DR,169 FUNKHOUSER DR,Engineering Annex (Mining Laboratory),Engineering Annex (Mining Laboratory),38,38,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
179 FUNKHOUSER DR,179 FUNKHOUSER DR,Margaret I. King Library,Margaret I. King Library,39,39,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
471 ROSE ST,471 ROSE ST,Maxwell Place,Maxwell Place,40,40,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036421,-84.502063
175 FUNKHOUSER DR,175 FUNKHOUSER DR,Pence Hall,Pence Hall,41,41,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
167 FUNKHOUSER DR,167 FUNKHOUSER DR,Grehan Journalism Bldg,Grehan Journalism Bldg,42,42,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
533 SOUTH LIMESTONE ST,533 SOUTH LIMESTONE ST,Whalen (S. J. Sam) Transportation Bldg,Whalen (S. J. Sam) Transportation Bldg,43,43,Lexington,Lexington,0,0,KY,KY,40506,40506,38.038381,-84.507161
171 FUNKHOUSER DR,171 FUNKHOUSER DR,Kastle Hall,Kastle Hall,44,44,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
155 GRAHAM AVE,155 GRAHAM AVE,McVey Hall,McVey Hall,45,45,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035445,-84.505688
512 ADMINISTRATION DR,512 ADMINISTRATION DR,F. Paul Anderson Tower,F. Paul Anderson Tower,46,46,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037445,-84.505398
606 SOUTH LIMESTONE ST,606 SOUTH LIMESTONE ST,C. W. Mathews Bldg,C. W. Mathews Bldg,47,47,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037508,-84.507375
620 SOUTH LIMESTONE ST,620 SOUTH LIMESTONE ST,Law Building,Law Building,48,48,Lexington,Lexington,0,0,KY,KY,40506,40506,38.036489,-84.507321
610 SOUTH LIMESTONE ST,610 SOUTH LIMESTONE ST,Memorial Hall,Memorial Hall,49,49,Lexington,Lexington,0,0,KY,KY,40506,40506,38.037402,-84.507413
135 GRAHAM AVE,135 GRAHAM AVE,Erikson Hall,Erikson Hall,50,50,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035977,-84.506317
120 GRAHAM AVE,120 GRAHAM AVE,Mineral Industries Bldg,Mineral Industries Bldg,51,51,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035591,-84.5059
140 GRAHAM AVE,140 GRAHAM AVE,Terrell Civil Engineering Bldg,Terrell Civil Engineering Bldg,52,52,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035844,-84.506767
121 WASHINGTON AVE,121 WASHINGTON AVE,Slone Research Bldg,Slone Research Bldg,53,53,Lexington,Lexington,0,0,KY,KY,40536,40536,38.035446,-84.507298
160 FUNKHOUSER DR,160 FUNKHOUSER DR,Funkhouser Bldg,Funkhouser Bldg,54,54,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
505 ROSE ST,505 ROSE ST,Chemistry-Physics Building,Chemistry-Physics Building,55,55,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035484,-84.503489
168 FUNKHOUSER DR,168 FUNKHOUSER DR,Breckinridge Hall,Breckinridge Hall,56,56,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
172 FUNKHOUSER DR,172 FUNKHOUSER DR,Kinkead Hall,Kinkead Hall,57,57,Lexington,Lexington,0,0,KY,KY,40506,40506,38.035398,-84.504731
545 ROSE ST,545 ROSE ST,Bradley Hall,Bradley Hall,58,58,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034537,-84.50447
151 WASHINGTON AVE,151 WASHINGTON AVE,Bowman Hall,Bowman Hall,59,59,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034725,-84.505288
150 WASHINGTON AVE,150 WASHINGTON AVE,Tobacco Research Laboratory,Tobacco Research Laboratory,61,61,Lexington,Lexington,0,0,KY,KY,40546,40546,38.034903,-84.506039
1685 RUSSELL CAVE RD,1685 RUSSELL CAVE RD,Shed Ecological Research,Shed Ecological Research,63,63,Lexington,Lexington,0,0,KY,KY,40511,40511,,
115 HUGUELET DR,115 HUGUELET DR,Scovell Hall,Scovell Hall,64,64,Lexington,Lexington,0,0,KY,KY,40546,40546,38.033138,-84.505823
150 HUGUELET DR,150 HUGUELET DR,Small Animal Lab,Small Animal Lab,65,65,Lexington,Lexington,0,0,KY,KY,40546,40546,38.033138,-84.505823
152 HUGUELET DR,152 HUGUELET DR,Agronomy Head House & Greenhouses 1 & 2,Agronomy Head House & Greenhouses 1 & 2,66,66,Lexington,Lexington,0,0,KY,KY,40546,40546,38.033138,-84.505823
456 ROSE ST,456 ROSE ST,Chi Omega Sorority,Chi Omega Sorority,67,67,Lexington,Lexington,0,0,KY,KY,40508,40508,38.03646,-84.501689
468 ROSE ST,468 ROSE ST,Delta Delta Delta Sorority,Delta Delta Delta Sorority,68,68,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036198,-84.50206
476 ROSE ST,476 ROSE ST,Alpha Delta Pi Sorority,Alpha Delta Pi Sorority,69,69,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036067,-84.502243
600 ROSE ST,600 ROSE ST,Wenner-Gren Research Lab,Wenner-Gren Research Lab,70,70,Lexington,Lexington,0,0,KY,KY,40536,40536,38.034111,-84.505031
225 DONOVAN DR,225 DONOVAN DR,Food Storage Building,Food Storage Building,71,71,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033406,-84.504937
680 ROSE ST,680 ROSE ST,Donovan Hall,Donovan Hall,72,72,Lexington,Lexington,0,0,KY,KY,40506,40506,38.033463,-84.505924
730 ROSE ST,730 ROSE ST,Cooper Forestry (Thomas Poe) Bldg,Cooper Forestry (Thomas Poe) Bldg,73,73,Lexington,Lexington,0,0,KY,KY,40546,40546,38.032946,-84.506704
698 SPORTS CENTER DR,698 SPORTS CENTER DR,Shively Track & Field Stadium,Shively Track & Field Stadium,74,74,Lexington,Lexington,0,0,KY,KY,40506,40506,38.027044,-84.500178
360 HUGUELET DR,360 HUGUELET DR,Kelley Building,Kelley Building,75,75,Lexington,Lexington,0,0,KY,KY,40536,40536,38.033336,-84.506076
1081 VETERANS DR,1081 VETERANS DR,Dimmock Animal Pathology,Dimmock Animal Pathology,76,76,Lexington,Lexington,0,0,KY,KY,40546,40546,38.028938,-84.506316
653 MAXWELTON CT.,653 MAXWELTON CT.,653 MAXWELTON CT.,653 MAXWELTON CT.,77,77,Lexington,Lexington,0,0,KY,KY,40508,40508,38.036248,-84.509581
1096 VETERANS DR,1096 VETERANS DR,Med Center Annex #5,Med Center Annex #5,78,78,Lexington,Lexington,0,0,KY,KY,40536,40536,38.028938,-84.506316
361 HUGUELET DR,361 HUGUELET DR,Central Residence Hall II,Central Residence Hall II,79,79,Lexington,Lexington,1,1,KY,KY,40506,40506,38.031734,-84.504161
340 HILLTOP AVE,340 HILLTOP AVE,Central Residence Hall I,Central Residence Hall I,80,80,Lexington,Lexington,1,1,KY,KY,40506,40506,38.032549,-84.503017
300 ALUMNI DR,300 ALUMNI DR,Cooker Trailer Storage,Cooker Trailer Storage,81,81,Lexington,Lexington,0,0,KY,KY,40503,40503,38.018062,-84.507518
725 ROSE ST,725 ROSE ST,Multi-Disciplinary Science Building (MDS),Multi-Disciplinary Science Building (MDS),82,82,Lexington,Lexington,0,0,KY,KY,40536,40536,38.03309,-84.506886
453 COLUMBIA AVE,453 COLUMBIA AVE,453 COLUMBIA AVE,453 COLUMBIA AVE,83,83,Lexington,Lexington,0,0,KY,KY,40506,40506,38.03284,-84.499226
