Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/8/2015 19:45,3,Closed,1000 SOUTH LIMESTONE ST,20150607,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/8/2015 20:30,3,Closed,1000 SOUTH LIMESTONE ST,20150614,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/8/2015 21:00,3,Open,310 SOUTH LIMESTONE ST,201502739,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/9/2015 4:00,3,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150224,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,3/9/2015 14:00,3,Closed,140 PATTERSON DR,20150616,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,140 PATTERSON DR
TBUT OR DISP FROM BUILDING,"4 OSSIAN RD, OBSERVATORT, CAPE TOWN, SOUTH AFRICA  ",Lexington,Kentucky,United States of America,Theft,3/10/2015 4:00,3,Closed,"4 OSSIAN RD, OBSERVATORT, CAPE TOWN, SOUTH AFRICA",CSA20150434,TBUT OR DISP FROM BUILDING,Theft,Closed,"4 OSSIAN RD, OBSERVATORT, CAPE TOWN, SOUTH AFRICA"
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/10/2015 19:30,3,Closed,1000 SOUTH LIMESTONE ST,20150631,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,741 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/11/2015 12:55,3,Closed,741 SOUTH LIMESTONE ST,20150633,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,741 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,752 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,3/12/2015 12:00,3,Open,752 WOODLAND AVE,20150731,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,752 WOODLAND AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,3/13/2015 4:00,3,Closed,401 HILLTOP AVE,20150661,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Closed,401 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,750 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,3/14/2015 8:00,3,Closed,750 ROSE ST,20150659,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,750 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/15/2015 10:30,3,Closed,1000 SOUTH LIMESTONE ST,20150673,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",404 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,3/15/2015 12:00,3,Closed,404 ADMINISTRATION DR,20150837,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",Theft,Closed,404 ADMINISTRATION DR
TBUT OR DISP FROM BUILDING U$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/15/2015 17:00,3,Closed,1000 SOUTH LIMESTONE ST,20150674,TBUT OR DISP FROM BUILDING U$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,3/15/2015 22:45,3,Closed,110 TRANSCRIPT AVE,20150678,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,3/16/2015 22:00,3,Closed,800 ROSE ST,20150679,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,3/17/2015 4:05,3,Closed,800 ROSE ST,20150682,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING,251 SCOTT ST  ,Lexington,Kentucky,United States of America,Theft,3/19/2015 4:00,3,Closed CSA,251 SCOTT ST,CSA20150252,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,251 SCOTT ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,138 LEADER AVE  ,Lexington,Kentucky,United States of America,Theft,3/20/2015 13:00,3,Closed,138 LEADER AVE,20150706,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/F,Theft,Closed,138 LEADER AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/20/2015 16:30,3,Closed,1000 SOUTH LIMESTONE ST,20150709,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/21/2015 7:54,3,Closed,1000 SOUTH LIMESTONE ST,20150705,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/22/2015 4:00,3,Closed CSA,740 SOUTH LIMESTONE ST,CSA20150279,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,740 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,168 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,3/22/2015 16:45,3,Closed,168 FUNKHOUSER DR,20150716,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,168 FUNKHOUSER DR
TBUT OR DISP FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/22/2015 19:40,3,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150262,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,3/24/2015 0:00,3,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20150818,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",500 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,3/24/2015 22:30,3,Open,500 ALUMNI DR,20150729,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Open,500 ALUMNI DR
TBUT OR DISP BUILDING U/$500/M,160 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,3/27/2015 21:00,3,Closed,160 FUNKHOUSER DR,20150769,TBUT OR DISP BUILDING U/$500/M,Theft,Closed,160 FUNKHOUSER DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,610 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/3/2015 21:30,4,Open,610 SOUTH LIMESTONE ST,20150792,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,610 SOUTH LIMESTONE ST
"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 1:00,4,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015052721,"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 4:00,4,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015052748,"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",179 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 4:00,4,Open,179 FUNKHOUSER DR,20150852,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,179 FUNKHOUSER DR
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 21:30,4,Closed,430 COMPLEX DR,20150804,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
THEFT BY DECEPTION - INCLUDE COLD CHECKS U$500/M,770 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,4/6/2015 12:00,4,Open,770 WOODLAND AVE,20150822,THEFT BY DECEPTION - INCLUDE COLD CHECKS U$500/M,Theft,Open,770 WOODLAND AVE
TBUT OR DISP ALL OTHERS U/$500/M,900 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/6/2015 21:56,4,Open,900 SOUTH LIMESTONE ST,20151072,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,900 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/7/2015 2:30,4,Closed,430 COMPLEX DR,20150845,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,430 COMPLEX DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,505 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,4/9/2015 17:30,4,Closed,505 ROSE ST,20150843,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,505 ROSE ST
"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,4/10/2015 11:00,4,Open,1540 UNIVERSITY DR,20150867,"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",Theft,Open,1540 UNIVERSITY DR
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,4/11/2015 23:00,4,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20150881,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
TBUT OR DISP PURSE SNATCHING U/$500/M; RECEIVING STOLEN PROPERTY/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/12/2015 4:20,4,Citation Issued,310 SOUTH LIMESTONE ST,20150871,TBUT OR DISP PURSE SNATCHING U/$500/M; RECEIVING STOLEN PROPERTY/M,Theft,Citation Issued,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,4/13/2015 16:00,4,Closed,110 TRANSCRIPT AVE,20150884,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/13/2015 19:15,4,Closed,430 COMPLEX DR,20150885,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,430 COMPLEX DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/15/2015 2:00,4,Closed,430 COMPLEX DR,20150893,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
THEFT BY EXTORTION/M,146 COLFAX ST  ,Lexington,Kentucky,United States of America,Theft,4/16/2015 9:00,4,Closed,146 COLFAX ST,20150906,THEFT BY EXTORTION/M,Theft,Closed,146 COLFAX ST
TBUT OR DISP ALL OTHERS U/$500/M,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,4/17/2015 16:00,4,Closed,650 WOODLAND AVE,20150939,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,650 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,750 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,4/17/2015 22:30,4,Closed,750 ROSE ST,20150968,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,750 ROSE ST
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,4/18/2015 12:00,4,Open,720 WOODLAND AVE,20151150,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,720 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/18/2015 22:00,4,Open,430 COMPLEX DR,20150927,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,430 COMPLEX DR
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,4/19/2015 12:00,4,Open,344 SOUTH MARTIN LUTHER KING BLVD,20151007,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,344 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M X2, RECEIVING STOLEN PROPERTY U/$500/M",330 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/19/2015 21:00,4,Citation Issued,330 SOUTH LIMESTONE ST,20150934,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M X2, RECEIVING STOLEN PROPERTY U/$500/M",Theft,Citation Issued,330 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING,701 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,4/19/2015 23:30,4,Closed Disciplinary Referral,701 SPORTS CENTER DR,CSA20150387,TBUT OR DISP FROM BUILDING,Theft,Closed Disciplinary Referral,701 SPORTS CENTER DR
"TBUT OR DISP ALL OTHERS $10,000 OR MORE BUT U/$1,000,000/F",600 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,4/20/2015 16:00,4,Open,600 ROSE ST,20151395,"TBUT OR DISP ALL OTHERS $10,000 OR MORE BUT U/$1,000,000/F",Theft,Open,600 ROSE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,00/F, CRIMINAL MISCHIEF 3RD/M",2365 HARRODSBURG RD  ,Lexington,Kentucky,United States of America,Theft,4/21/2015 22:00,4,Closed Lexington Police Report,2365 HARRODSBURG RD,2015063223,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,00/F, CRIMINAL MISCHIEF 3RD/M",Theft,Closed Lexington Police Report,2365 HARRODSBURG RD
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/22/2015 0:30,4,Closed,1000 SOUTH LIMESTONE ST,20150950,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS,"617 CLEMONS FORK RD, CLAYHOLE,   ",Lexington,Kentucky,United States of America,Theft,4/22/2015 4:00,4,Closed CSA,"617 CLEMONS FORK RD, CLAYHOLE, KY",CSA20150391,TBUT OR DISP ALL OTHERS,Theft,Closed CSA,"617 CLEMONS FORK RD, CLAYHOLE, KY"
TBUT OR DISP FROM BUILDING U/$500/M,741 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/22/2015 13:00,4,Closed,741 SOUTH LIMESTONE ST,20150954,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,741 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/22/2015 20:00,4,Closed,310 SOUTH LIMESTONE ST,20150964,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,4/23/2015 13:30,4,Closed,720 WOODLAND AVE,20150936,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,720 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/23/2015 23:00,4,Closed,310 SOUTH LIMESTONE ST,20150973,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"RECEIVING STOLEN PROPERTY U/$500/M, TBUT OR DISP ALL OTHERS U/$500/M",SOUTH LIMESTONE ST & MONTMULLIN ST  ,Lexington,Kentucky,United States of America,Theft,4/24/2015 7:16,4,Citation Issued,SOUTH LIMESTONE ST & MONTMULLIN ST,20150972,"RECEIVING STOLEN PROPERTY U/$500/M, TBUT OR DISP ALL OTHERS U/$500/M",Theft,Citation Issued,SOUTH LIMESTONE ST & MONTMULLIN ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/24/2015 11:00,4,Closed,310 SOUTH LIMESTONE ST,20151071,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,4/24/2015 11:30,4,Closed,180 AVENUE OF CHAMPIONS,20150975,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,180 AVENUE OF CHAMPIONS
"CRIMINAL MISCHIEF3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,4/25/2015 3:00,4,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015065348,"CRIMINAL MISCHIEF3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD/M",695 WINNIE ST  ,Lexington,Kentucky,United States of America,Theft,4/25/2015 23:00,4,Closed Lexington Police Report,695 WINNIE ST,2015065999,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD/M",Theft,Closed Lexington Police Report,695 WINNIE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,SIMPSON AVE  ,Lexington,Kentucky,United States of America,Theft,4/26/2015 21:00,4,Closed,SIMPSON AVE,20151005,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,SIMPSON AVE
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,4/28/2015 1:00,4,Closed,110 TRANSCRIPT AVE,20151011,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,110 TRANSCRIPT AVE
THEFT OF SERVICES/M,721 PRESS AVE  ,Lexington,Kentucky,United States of America,Theft,4/28/2015 19:30,4,Closed,721 PRESS AVE,20151070,THEFT OF SERVICES/M,Theft,Closed,721 PRESS AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,4/29/2015 16:00,4,Closed,401 HILLTOP AVE,20151205,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,401 HILLTOP AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,404 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,4/29/2015 21:00,4,Open,404 ADMINISTRATION DR,20151025,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,404 ADMINISTRATION DR
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,5/1/2015 4:00,5,Open,800 ROSE ST,20151032,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,5/1/2015 12:00,5,Closed,1540 UNIVERSITY DR,20152697,"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",Theft,Closed,1540 UNIVERSITY DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",349 SCOTT ST  ,Lexington,Kentucky,United States of America,Theft,5/1/2015 23:00,5,Closed,349 SCOTT ST,20151056,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,349 SCOTT ST
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",1080 EXPORT ST  ,Lexington,Kentucky,United States of America,Theft,5/2/2015 14:20,5,Closed Lexington Police Report,1080 EXPORT ST,2015073084,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,1080 EXPORT ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/3/2015 19:00,5,Closed,310 SOUTH LIMESTONE ST,20151049,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",360 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,5/4/2015 12:30,5,Open,360 HUGUELET DR,20151110,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,360 HUGUELET DR
"TBUT OR DISP FROM BUILDING $500 ORE MORE BUT U/$10,000/F",171 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,5/5/2015 13:15,5,Closed,171 FUNKHOUSER DR,20151058,"TBUT OR DISP FROM BUILDING $500 ORE MORE BUT U/$10,000/F",Theft,Closed,171 FUNKHOUSER DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,721 PRESS AVE  ,Lexington,Kentucky,United States of America,Theft,5/5/2015 20:45,5,Closed Lexington Police Report,721 PRESS AVE,2015071828,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed Lexington Police Report,721 PRESS AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,5/5/2015 23:30,5,Closed,1000 SOUTH LIMESTONE ST,20151066,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FARM EQUIP $10,000 OR MORE BUT U/$1,000,000/F",4321 EMMERT FARM LN  ,Lexington,Kentucky,United States of America,Theft,5/6/2015 17:30,5,Open,4321 EMMERT FARM LN,20151090,"TBUT OR DISP FARM EQUIP $10,000 OR MORE BUT U/$1,000,000/F",Theft,Open,4321 EMMERT FARM LN
"TBUT ORDISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",349 SCOTT ST  ,Lexington,Kentucky,United States of America,Theft,5/7/2015 1:00,5,Closed,349 SCOTT ST,20151125,"TBUT ORDISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,349 SCOTT ST
TBUT OR DISP BICYCLES U/$500/M,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,5/7/2015 21:00,5,Closed,769 WOODLAND AVE,20151099,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,769 WOODLAND AVE
THEFT OF PROPER MISLAID OR DELIVER BY MISTAKE/M,326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,5/8/2015 0:00,5,Closed,326 SOUTH MARTIN LUTHER KING BLVD,20151089,THEFT OF PROPER MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,326 SOUTH MARTIN LUTHER KING BLVD
"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, TBUT OR DISP FROM BUILDING U/$500/M",180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,5/8/2015 5:00,5,Closed,180 AVENUE OF CHAMPIONS,20151211,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, TBUT OR DISP FROM BUILDING U/$500/M",Theft,Closed,180 AVENUE OF CHAMPIONS
TBUT OR DISP FROM BUILDING U/$500/M,349 SCOTT ST  ,Lexington,Kentucky,United States of America,Theft,5/8/2015 17:00,5,Closed,349 SCOTT ST,20151108,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,349 SCOTT ST
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,5/8/2015 19:00,5,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20151097,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,5/9/2015 11:00,5,Closed,800 ROSE ST,20151102,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
