Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/17/2015 13:00,1,Closed,310 SOUTH LIMESTONE ST,20150172,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",300 ALUMNI DR  ,Lexington,Kentucky,United States of America,Theft,1/17/2015 18:00,1,Closed,300 ALUMNI DR,20150131,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,300 ALUMNI DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",468 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/18/2015 0:00,1,Open,468 ROSE ST,20150163,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,468 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/24/2015 0:00,1,Closed,1000 SOUTH LIMESTONE ST,20150218,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT OF MAIL MATTER/F ,1608 UNIVERSITY CT  ,Lexington,Kentucky,United States of America,Theft,1/25/2015 17:00,1,Open,1608 UNIVERSITY CT,20150208,THEFT OF MAIL MATTER/F ,Theft,Open,1608 UNIVERSITY CT
TBUT OR DISP ALL OTHERS U/$500/M,HAGERMAN CT  ,Lexington,Kentucky,United States of America,Theft,1/26/2015 19:00,1,Open,HAGERMAN CT,20150228,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,HAGERMAN CT
TBUT OR DISP FROM BUILDING U/$500/M,125 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Theft,1/26/2015 21:30,1,Closed,125 EAST MAXWELL ST,20150225,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,125 EAST MAXWELL ST
THEFT OF IDENTITY OR ANOTHER W/O CONSENT/F; THEFT OF SERVICES/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/28/2015 5:00,1,Open,1000 SOUTH LIMESTONE ST,20150388,THEFT OF IDENTITY OR ANOTHER W/O CONSENT/F; THEFT OF SERVICES/M,Theft,Open,1000 SOUTH LIMESTONE ST
TBUT FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/28/2015 23:23,1,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150087,TBUT FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M; CRIMINAL MISCHIEF 3RD DEGREE/M,720 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,1/29/2015 0:00,1,Closed,720 WOODLAND AVE,20150244,TBUT OR DISP BICYCLES U/$500/M; CRIMINAL MISCHIEF 3RD DEGREE/M,Theft,Closed,720 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,1/29/2015 15:45,1,Closed,180 AVENUE OF CHAMPIONS,20150277,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,180 AVENUE OF CHAMPIONS
TBUT OR DISP ALL OTHERS U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/31/2015 1:00,1,Closed Lexington Police Report,800 ROSE ST,2015019765,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed Lexington Police Report,800 ROSE ST
TBUT OR DISP ALL OTHERS U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/31/2015 1:50,1,Closed Lexington Police Report,1000 SOUTH LIMESTONE ST,2015015799,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed Lexington Police Report,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/1/2015 17:00,2,Closed,1000 SOUTH LIMESTONE ST,20150272,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP SHOPLIFTING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,2/2/2015 16:00,2,Open,180 AVENUE OF CHAMPIONS,20150319,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Open,180 AVENUE OF CHAMPIONS
TBUT OR DISP FROM BUILDING U/$500/M,450 COOPER DR  ,Lexington,Kentucky,United States of America,Theft,2/2/2015 19:00,2,Open,450 COOPER DR,20150309,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,450 COOPER DR
TBUT OR DISP FROM BUILDING U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,2/2/2015 23:30,2,Closed,430 COMPLEX DR,20150292,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,430 COMPLEX DR
"HARASSMENT (NO PHYSICAL CONTACT), THEFT OF SERVICES/F",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/3/2015 13:00,2,Open,1000 SOUTH LIMESTONE ST,20150307,"HARASSMENT (NO PHYSICAL CONTACT), THEFT OF SERVICES/F",Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,758 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,2/3/2015 16:58,2,Open,758 WOODLAND AVE,20150300,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,758 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/4/2015 2:00,2,Closed,1000 SOUTH LIMESTONE ST,20150297,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,2/5/2015 21:00,2,Open,800 ROSE STREET,20150379,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE STREET
THEFT BY DECEPTION - INCLUDE COLD CHECKS U/$500/M,140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,2/6/2015 16:00,2,Open,140 PATTERSON DR,20150366,THEFT BY DECEPTION - INCLUDE COLD CHECKS U/$500/M,Theft,Open,140 PATTERSON DR
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/7/2015 0:30,2,Closed,310 SOUTH LIMESTONE ST,20150352,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,769 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,2/8/2015 6:00,2,Closed,769 WOODLAND AVE,20150350,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,769 WOODLAND AVE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,1435 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,2/9/2015 2:00,2,Closed,1435 NICHOLASVILLE RD,20150359,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,1435 NICHOLASVILLE RD
