Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20131373,05/13/2013 - 3:30pm,5/13/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP SHOPLIFTING/M,No,Citation issued
Theft,20131363,05/12/2013 - 3:00pm,5/12/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT OR DISP BUILDING/M,No,Open
Theft,20131364,05/09/2013 - 5:00pm,5/12/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,"TBUT OR DISP CONTENTS FROM AUTO/F, CRIMINAL MISCHIEF 3RD/M",No,Closed
Theft,20131351,05/11/2013 - 6:00am,5/11/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20131331,05/09/2013 - 12:00pm,5/9/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,CSA20130008,05/07/2013 - 6:30pm,5/8/2013,United States,Kentucky,Lexington,416 COMPLEX DR,TBUT OR DISP FROM BUILDING,No,Closed - CSA
Theft,20131308,05/05/2013 - 11:00am,5/5/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP CONTENTS FROM AUTO/F,No,Closed
Theft,20131301,05/04/2013 - 7:30pm,5/4/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP FROM AUTO/M,No,Closed
Theft,20131282,05/02/2013 - 6:15am,5/3/2013,United States,Kentucky,Lexington,WARREN CT & ELKINS ALLEY,"TBUT OR DISP CONTENTS FROM AUTO/F, CRIMINAL MISCHIEF 3RD/M",No,Closed
Theft,20131286,05/03/2013 - 3:00pm,5/3/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,TBUT OR DISP - ALL OTHERS/F,No,Closed
Theft,20131288,05/03/2013 - 1:15pm,5/3/2013,United States,Kentucky,Lexington,408 ADMINISTRATION DR,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20131275,05/02/2013 - 2:00am,5/2/2013,United States,Kentucky,Lexington,752 WOODLAND AVE,TBUT OR DISP BUILDING/M,Yes,Closed
Theft,2013058032,04/23/2013 - 8:00pm,4/30/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT DISP-ALL OTHERS/F,No,Closed - Lexington Police Report
Theft,20131252,04/27/2013 - 2:30am,4/30/2013,United States,Kentucky,Lexington,121 CAMPUS DR,TBUT OR DISP FROM BUILDING/M,Yes,Open
Theft,20131256,04/28/2013 - 12:00pm,4/30/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP FROM AUTO/M,No,Closed
Theft,20131238,04/28/2013 - 4:30pm,4/29/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP FROM AUTO/M,No,Closed
Theft,20131239,04/29/2013 - 11:45am,4/29/2013,United States,Kentucky,Lexington,252 EAST MAXWELL ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20131243,04/29/2013 - 8:50pm,4/29/2013,United States,Kentucky,Lexington,701 SPORTS CENTER DR,TBUT/F,No,Open
Theft,20131235,04/26/2013 - 1:30pm,4/29/2013,United States,Kentucky,Lexington,301 HILLTOP AVE,TBUT OR DISP PARTS FROM VEH/F,No,Open
Theft,20131226,04/26/2013 - 3:30pm,4/28/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP FROM AUTO/M,No,Closed
Theft,20131229,04/27/2013 - 9:00pm,4/28/2013,United States,Kentucky,Lexington,769 WOODLAND AVE,TBUT OR DISP FROM BUILDING/F,Yes,Closed
Theft,20131220,04/27/2013 - 3:00am,4/27/2013,United States,Kentucky,Lexington,301 HILLTOP AVE,TBUT OR DISP CONTENTS FROM AUTO/F,No,Open
Theft,20131201,04/22/2013 - 8:00am,4/26/2013,United States,Kentucky,Lexington,769 WOODLAND AVE,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20131182,04/24/2013 - 4:30pm,4/25/2013,United States,Kentucky,Lexington,1608 UNIVERSITY CT,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20131183,04/24/2013 - 5:30pm,4/25/2013,United States,Kentucky,Lexington,1100 SOUTH LIMESTONE ST,BURGLARY 2ND/F,No,Closed
Theft,20131177,04/24/2013 - 4:00pm,4/24/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20131159,04/23/2013 - 2:00am,4/23/2013,United States,Kentucky,Lexington,752 WOODLAND AVE,TBUT OR DISP BUILDING/M,Yes,Open
Theft,20131145,04/19/2013 - 10:00pm,4/21/2013,United States,Kentucky,Lexington,1435 NICHOLASVILLE RD,TBUT OR DIS FROM AUTO/M,No,Open
Theft,20131129,04/19/2013 - 3:00pm,4/20/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP ALL OTHERS/M,No,Closed
Theft,20131114,03/12/2013 - 4:00pm,4/19/2013,United States,Kentucky,Lexington,750 WOODLAND AVE,TBUT OR DISP FROM BUILDING/F,Yes,Closed
Theft,20131115,04/19/2013 - 2:20pm,4/19/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP SHOPLIFTING/M,No,Closed
Theft,20131107,04/18/2013 - 4:30pm,4/18/2013,United States,Kentucky,Lexington,125 AVENUE OF CHAMPIONS,TBUT OR DISP - ALL OTHER/F,No,Open
Theft,20131112,04/14/2013 - 5:00pm,4/18/2013,United States,Kentucky,Lexington,WOODLAND AVE,"TBUT OR DISP FROM AUTO/M, CRIMINAL MISCHIEF 3RD/M",No,Closed
Theft,20131082,04/09/2013 - 1:00pm,4/17/2013,United States,Kentucky,Lexington,1435 NICHOLASVILLE RD,TBUT OR DISP BUILDING/M,No,Open
Theft,20131083,04/16/2013 - 12:45pm,4/17/2013,United States,Kentucky,Lexington,789 SOUTH LIMESTONE ST,"FRAUD USE OF CREDIT CARD $500 < $10,000/F, TBUT OR DISP BUILDING/M",No,Open
Theft,20131088,04/17/2013 - 8:00am,4/17/2013,United States,Kentucky,Lexington,409 SOUTH LIMESTONE ST,"TBUT OR DISP FROM AUTO/M, CRIMINAL MISCHIEF 2ND/M",No,Closed
Theft,20131090,04/17/2013 - 5:00pm,4/17/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20131091,04/15/2013 - 8:00am,4/17/2013,United States,Kentucky,Lexington,680 ROSE ST,TBUT OR DISP FROM AUTO/M,No,Closed
Theft,20131073,04/15/2013 - 5:00pm,4/16/2013,United States,Kentucky,Lexington,740 ROSE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20131059,04/13/2013 - 9:30pm,4/14/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20131056,04/13/2013 - 10:00pm,4/14/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP FROM AUTO/M,No,Open
Theft,20131058,04/13/2013 - 12:00pm,4/14/2013,United States,Kentucky,Lexington,705 SPORTS CENTER DR,"TBUT OR DISP FROM AUTO/M, CRIMINAL MISCHIEF 3RD/M",No,Closed
Theft,20131025,03/21/2013 - 12:00pm,4/11/2013,United States,Kentucky,Lexington,101 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING/F,Yes,Open
Theft,20131206,04/11/2013 - 8:30am,4/11/2013,United States,Kentucky,Lexington,124 CAMPUS DR,TBUT OR DISP BUILDING/M,Yes,Closed
Theft,20131028,04/10/2013 - 2:00am,4/11/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20131015,04/09/2013 - 4:00am,4/10/2013,United States,Kentucky,Lexington,465 WOODLAND AVE,TBUT OR DISP FROM BUILDING/M,Yes,Closed
Theft,20131021,04/10/2013 - 9:45pm,4/10/2013,United States,Kentucky,Lexington,1095 VETERANS DR,TBUT OF DISP BICYCLES/F,No,Closed
Theft,20130998,04/08/2013 - 4:25am,4/8/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP BUILDING/M,No,Unfounded
Theft,2013047444,04/04/2013 - 12:00am,4/8/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/F,No,Closed - Lexington Police Report
Theft,20131000,04/04/2013 - 12:01pm,4/8/2013,United States,Kentucky,Lexington,750 ROSE ST,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE/M,No,Open
Theft,20131002,04/04/2013 - 5:00pm,4/8/2013,United States,Kentucky,Lexington,1401 SPORTS CENTER DR,"TBUT OR DISP BUILDING/M, FRAUD USE CREDIT CARD UNDER $500 WITHIN 6 MONTH PERIOD/M",No,Open
Theft,20131003,04/08/2013 - 5:50pm,4/8/2013,United States,Kentucky,Lexington,172 FUNKHOUSER DR,THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M,No,Open
Theft,20130994,03/28/2013 - 7:15pm,4/7/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP BICYCLES/M,No,Open
Theft,20130980,04/06/2013 - 3:00pm,4/6/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130962,02/26/2013 - 3:00pm,4/5/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130963,04/05/2013 - 2:40pm,4/5/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130966,04/05/2013 - 12:15pm,4/5/2013,United States,Kentucky,Lexington,465 ROSE ST,"THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (>2 CARD)/M, FRAUD USE OF CREDIT CARD $500<$10,000/F, FAUD USE CREDIT CARD UNDER $500 WITHIN 6 MONTH PERIOD/M",No,Open
Theft,20130946,04/04/2013 - 11:30am,4/4/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130932,04/02/2013 - 5:00pm,4/3/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130940,04/03/2013 - 1:00pm,4/3/2013,United States,Kentucky,Lexington,460 COOPER DR,TBUT OR DISP BUILDING/M,No,Open
Theft,20130935,04/02/2013 - 1:52pm,4/2/2013,United States,Kentucky,Lexington,325 COOPER DR,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130926,03/29/2013 - 1:00pm,4/1/2013,United States,Kentucky,Lexington,200 AVENUE OF CHAMPIONS,TBUT OR DISP BICYCLES/M,No,Closed
Theft,201318641,11/01/2010 - 12:00am,3/29/2013,United States,Kentucky,Lexington,420 HILLTOP AVE,TBUT DISP BICYCLE,No,Closed
Theft,20130878,03/28/2013 - 12:00am,3/28/2013,United States,Kentucky,Lexington,750 ROSE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130871,03/26/2013 - 5:00pm,3/27/2013,United States,Kentucky,Lexington,2400 GREATSTONE PL,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130870,03/25/2013 - 4:00pm,3/27/2013,United States,Kentucky,Lexington,330 HILLTOP AVE,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20130873,03/27/2013 - 3:00pm,3/27/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130875,03/27/2013 - 11:00am,3/27/2013,United States,Kentucky,Lexington,465 ROSE ST,TBUT OR DISP BICYCLES/M,No,Open
Theft,20130860,03/25/2013 - 5:30pm,3/26/2013,United States,Kentucky,Lexington,470 COOPER DR,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130862,03/22/2013 - 1:15pm,3/26/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130864,03/26/2013 - 2:30pm,3/26/2013,United States,Kentucky,Lexington,150 PATTERSON DR,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130846,03/24/2013 - 11:15am,3/25/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130825,03/23/2013 - 12:00am,3/23/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP CONTENTS FROM AUTO/F,No,Closed
Theft,20130811,03/22/2013 - 11:36am,3/22/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130808,03/21/2013 - 9:10pm,3/21/2013,United States,Kentucky,Lexington,430 WEST VINE STREET,TBUT OR DISP POCKETPICKING/M,No,Cleared By Arrest
Theft,20130805,03/21/2013 - 7:30am,3/21/2013,United States,Kentucky,Lexington,758 WOODLAND AVENUE,TBUT OR DISP FROM BUILDING/F,Yes,Open
Theft,20130803,03/21/2013 - 3:00pm,3/21/2013,United States,Kentucky,Lexington,430 WEST VINE STREET,THEFT OF PROP MISLAID OR DELIVERED BY MISTAKE/M,No,Open
Theft,20130801,12/01/2012 - 12:00pm,3/21/2013,United States,Kentucky,Lexington,470 COOPER DRIVE,TBUT OR DISP BUILDING/M,No,Open
Theft,20130804,03/21/2013 - 3:00pm,3/21/2013,United States,Kentucky,Lexington,430 WEST VINE STREET,"THEFT-RECEIPT OF STOLEN CREDIT/CARD (1 CARD)/M; ALCOHOL INTOXICATION IN A PUBLIC PLACE; FRAUD USE OF CREDIT CARD $500<$10,000/F",No,Cleared By Arrest
Theft,20130787,03/18/2013 - 12:00pm,3/19/2013,United States,Kentucky,Lexington,597 SOUTH SUPPER ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130792,03/19/2013 - 9:40pm,3/19/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130773,03/15/2013 - 6:30am,3/18/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130774,03/11/2013 - 3:00pm,3/18/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130731,03/01/2013 - 8:00am,3/13/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130726,03/06/2013 - 5:00pm,3/12/2013,United States,Kentucky,Lexington,465 ROSE ST,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130727,03/06/2013 - 2:00pm,3/12/2013,United States,Kentucky,Lexington,505 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130718,03/09/2013 - 11:00pm,3/11/2013,United States,Kentucky,Lexington,512 ADMINISTRATION DR,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,2013032628,03/07/2013 - 4:40pm,3/8/2013,United States,Kentucky,Lexington,405 ROSE ST,TBUT-DISP ALL OTHERS/F,No,Closed - Lexington Police Report
Theft,20130669,03/06/2013 - 1:00pm,3/7/2013,United States,Kentucky,Lexington,620 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130679,02/15/2013 - 12:00pm,3/7/2013,United States,Kentucky,Lexington,120 PATTERSON DR,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20130670,03/06/2013 - 1:30pm,3/6/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Open
Theft,20130657,03/04/2013 - 5:00pm,3/5/2013,United States,Kentucky,Lexington,1600 UNIVERSITY COURT,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130647,03/02/2013 - 3:30pm,3/4/2013,United States,Kentucky,Lexington,460 COOPER DR,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130621,02/24/2013 - 12:00am,3/1/2013,United States,Kentucky,Lexington,750 WOODLAND AVE,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20130622,02/28/2013 - 4:30pm,2/28/2013,United States,Kentucky,Lexington,434 COMPLEX DRIVE,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130610,02/11/2013 - 12:00am,2/27/2013,United States,Kentucky,Lexington,125 AVENUE OF CHAMPIONS,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20130612,02/26/2013 - 8:00am,2/27/2013,United States,Kentucky,Lexington,756 WOODLAND AVENUE,THEFT OF CONTROLLED SUBSTANCE/F,Yes,Open
Theft,20130604,02/26/2013 - 4:10pm,2/26/2013,United States,Kentucky,Lexington,465 ROSE STREET,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130606,02/26/2013 - 4:00pm,2/26/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP BUILDING/M,No,Open
Theft,20130598,05/15/2012 - 12:00am,2/25/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE STREET,THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,No,Open
Theft,20130599,02/25/2013 - 5:25pm,2/25/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE STREET,TBUT OR DISP BUILDING/M,No,Open
Theft,20130567,02/22/2013 - 2:10pm,2/22/2013,United States,Kentucky,Lexington,675 ROSE STREET,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130569,02/22/2013 - 6:45pm,2/22/2013,United States,Kentucky,Lexington,430 COMPLEX DRIVE,TBUT OR DISP ALL OTHERS/M; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M,No,Open
Theft,20130563,02/19/2013 - 2:00pm,2/22/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP BUILDING/M,No,Unfounded
Theft,20130566,02/22/2013 - 12:00pm,2/22/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT OR DISP BUILDING/M,No,Unfounded
Theft,20130552,02/12/2013 - 9:00am,2/21/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE STREET,TBUT OR DISP ALL OTHERS/M,No,Closed
Theft,20130543,02/18/2013 - 2:50pm,2/20/2013,United States,Kentucky,Lexington,AVENUE OF CHAMPIONS,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20130544,02/20/2013 - 4:50pm,2/20/2013,United States,Kentucky,Lexington,620 SOUTH LIMESTONE STREET,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130533,02/16/2013 - 3:00pm,2/19/2013,United States,Kentucky,Lexington,460 COOPER DRIVE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130521,02/18/2013 - 9:51am,2/18/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT FROM BUILDING,No,Closed
Theft,20130505,02/17/2013 - 8:20am,2/17/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE STREET,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130508,02/17/2013 - 10:00am,2/17/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE STREET,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130501,02/16/2013 - 10:37pm,2/16/2013,United States,Kentucky,Lexington,1608 UNIVERSITY CT,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20130486,02/13/2013 - 5:00am,2/15/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE STREET,THEFT OF CONTROLLED SUBSTANCE/F,No,Open
Theft,20130490,02/15/2013 - 7:45pm,2/15/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130479,02/14/2013 - 5:00pm,2/14/2013,United States,Kentucky,Lexington,800 ROSE STREET,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130462,02/12/2013 - 10:30pm,2/13/2013,United States,Kentucky,Lexington,101 AVE OF CHAMPIONS,TBUT OR DISP FROM BUILDING,Yes,Closed
Theft,20130464,02/13/2013 - 8:00am,2/13/2013,United States,Kentucky,Lexington,1000 S LIMESTONE ST,TBUT OR DISP BUILDING,No,Closed
Theft,20130465,02/12/2013 - 12:30pm,2/13/2013,United States,Kentucky,Lexington,120 PATTERSON DR,TBUT OR DISP BUILDING,No,Closed
Theft,20130452,02/12/2013 - 8:20pm,2/12/2013,United States,Kentucky,Lexington,750 ROSE STREET,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130453,02/09/2013 - 5:05pm,2/12/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DRIVE,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130448,02/11/2013 - 11:50am,2/11/2013,United States,Kentucky,Lexington,180 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130449,02/11/2013 - 8:00am,2/11/2013,United States,Kentucky,Lexington,800 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130443,02/10/2013 - 1:30pm,2/10/2013,United States,Kentucky,Lexington,465 ROSE STREET,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130445,02/10/2013 - 5:30pm,2/10/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130420,01/22/2013 - 4:00pm,2/8/2013,United States,Kentucky,Lexington,470 COOPER DRIVE,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130426,02/08/2013 - 10:25pm,2/8/2013,United States,Kentucky,Lexington,708 SPORTS CENTER DRIVE,THEFT BY EXTORTION/F,Yes,Open
Theft,20130410,02/07/2013 - 3:45pm,2/7/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,TBUT OR DISP BUILDING,No,Closed
Theft,20130412,02/07/2013 - 9:45pm,2/7/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130406,02/06/2013 - 2:30pm,2/6/2013,United States,Kentucky,Lexington,408 PATTERSON DRIVE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,2013016204,02/01/2013 - 11:00pm,2/5/2013,United States,Kentucky,Lexington,S LIMESTONE ST & PINE ST,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report
Theft,2013016205,02/01/2013 - 11:00pm,2/5/2013,United States,Kentucky,Lexington,S LIMESTONE ST & PINE ST,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report
Theft,20130400,02/05/2013 - 6:00pm,2/5/2013,United States,Kentucky,Lexington,430 COMPLEX DRIVE,TBUT OR DISP BUILDING/M,No,Open
Theft,20130396,02/05/2013 - 11:15am,2/5/2013,United States,Kentucky,Lexington,1081 VETERANS DRIVE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130382,11/01/2012 - 8:00am,2/4/2013,United States,Kentucky,Lexington,518 OLDHAM COURT,TBUT OR DISP BUILDING/M; THEFT OF SERVICES/M,No,Closed
Theft,20130386,01/31/2013 - 12:00pm,2/4/2013,United States,Kentucky,Lexington,750 WOODLAND AVENUE,TBUT OR DISP BICYCLES/M,No,Closed
Theft,20130369,02/03/2013 - 2:00pm,2/3/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130371,02/01/2013 - 6:00pm,2/3/2013,United States,Kentucky,Lexington,538 ROSE STREET,TBUT OR DISP FROM AUTO/M,No,Open
Theft,20130347,01/29/2013 - 8:00pm,2/1/2013,United States,Kentucky,Lexington,800 ROSE STREET,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130348,01/31/2013 - 1:00pm,2/1/2013,United States,Kentucky,Lexington,456 ROSE LANE,TBUT OR DISP ALL OTHERS/F,No,Closed
Theft,20130349,01/31/2013 - 1:00pm,2/1/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DRIVE,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M; THEFT BY DECEPTION-INCLUDING COLD CHECKS U/$500/M,No,Closed
Theft,20130330,01/31/2013 - 11:30am,1/31/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130331,01/31/2013 - 12:05pm,1/31/2013,United States,Kentucky,Lexington,101 AVENUE OF CHAMPIONS,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130332,01/31/2013 - 12:15pm,1/31/2013,United States,Kentucky,Lexington,140 PATTERSON DRIVE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130333,01/31/2013 - 1:20pm,1/31/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130334,11/30/2012 - 4:00pm,1/31/2013,United States,Kentucky,Lexington,175 LIBRARY DRIVE,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Open
Theft,20130335,01/22/2013 - 2:00pm,1/31/2013,United States,Kentucky,Lexington,108 PATTERSON DRIVE,TBUT OR DISP BUILDING/M,No,Open
Theft,20130336,01/29/2013 - 11:00am,1/31/2013,United States,Kentucky,Lexington,460 COOPER DRIVE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130337,01/31/2013 - 3:20pm,1/31/2013,United States,Kentucky,Lexington,180 AVENUE OF CHAMPIONS,TBUT OR DISP BUILDING/M,No,Open
Theft,20130338,01/31/2013 - 3:50pm,1/31/2013,United States,Kentucky,Lexington,342 WALLER AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130339,01/24/2013 - 4:00pm,1/31/2013,United States,Kentucky,Lexington,327 COLUMBIA AVENUE,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130340,01/31/2013 - 5:45pm,1/31/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE STREET,TBUT OR DISP BUILDING/M,No,Closed
Theft,20130318,12/05/2012 - 8:00am,1/30/2013,United States,Kentucky,Lexington,2015 VERSAILLES RD,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Unfounded
Theft,20130320,01/30/2013 - 11:15am,1/30/2013,United States,Kentucky,Lexington,150 PATTERSON DRIVE,TBUT OR DISP BUILDING/M,No,Open
Theft,20130322,01/30/2013 - 3:30pm,1/30/2013,United States,Kentucky,Lexington,789 SOUTH LIMESTONE STREET,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20130324,01/30/2013 - 5:40pm,1/30/2013,United States,Kentucky,Lexington,401 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING/F,No,Open
Theft,20130306,01/09/2013 - 7:00am,1/29/2013,United States,Kentucky,Lexington,2400 GREATSTONE PT,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,No,Closed
Theft,20130308,01/28/2013 - 10:00pm,1/29/2013,United States,Kentucky,Lexington,422 AYLESFORD PL,"TBUT OR DISP FROM AUTO, CRIMINAL MISCHIEF 3RD DEGREE",No,Closed
Theft,20130309,01/29/2013 - 7:00am,1/29/2013,United States,Kentucky,Lexington,SCOTT ST PARKING LOT,"TBUT OR DISP FROM AUTO, CRIMINAL MISCHIEF 3RD DEGREE",No,Closed
Theft,20130311,01/29/2013 - 5:30pm,1/29/2013,United States,Kentucky,Lexington,1210 UNIVERSITY DR,TBUT OR DISP BUILDING,No,Open
Theft,20120313,01/29/2013 - 11:00am,1/29/2013,United States,Kentucky,Lexington,408 ADMINISTRATION DR,TBUT OR DISP BUILDING,No,Open
