Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20133258,11/13/2013 - 2:00pm,12/2/2013,United States,Kentucky,Lexington,UNIVERSITY DR,TBUT OR DISP OF BICYCLE U/$500/M,No,Closed
Theft,20133249,12/01/2013 - 10:00am,12/1/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,CSA20130053,11/07/2013 - 12:00am,11/27/2013,United States,Kentucky,Lexington,597 SOUTH UPPER ST,TBUT FROM BUILDING U/$500/M,No,Closed - CSA
Theft,20133222,11/12/2013 - 10:00am,11/26/2013,United States,Kentucky,Lexington,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013186226,11/16/2013 - 12:01am,11/25/2013,United States,Kentucky,Lexington,800 ROSE ST,"TBUT OR DISP ALL OTHERS U/$500/M, FRAUDULENT USE CRDIT CARD AFTER REP LOST/STOL U500/M",No,Closed - Lexington Police Report
Theft,20133217,11/25/2013 - 1:55pm,11/25/2013,United States,Kentucky,Lexington,505 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133206,11/22/2013 - 11:00pm,11/24/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20133210,11/23/2013 - 8:00pm,11/24/2013,United States,Kentucky,Lexington,800 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133197,10/07/2013 - 8:00am,11/23/2013,United States,Kentucky,Lexington,101 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,Yes,Closed
Theft,20133176,11/21/2013 - 9:30pm,11/21/2013,United States,Kentucky,Lexington,430 COMPLEX DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20133168,11/20/2013 - 6:15pm,11/20/2013,United States,Kentucky,Lexington,1210 UNIVERSITY DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013183961,11/16/2013 - 5:00pm,11/19/2013,United States,Kentucky,Lexington,201 AVENUE OF CHAMPIONS,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed - Lexington Police Report
Theft,20133158,11/19/2013 - 8:05am,11/19/2013,United States,Kentucky,Lexington,597 SOUTH UPPER ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133161,11/18/2013 - 11:30pm,11/19/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,2013183823,11/15/2013 - 10:00pm,11/18/2013,United States,Kentucky,Lexington,AVENUE OF CHAMPIONS,SEIZED AND FORFEITED PROPERTY,No,Closed - Lexington Police Report
Theft,20133145,11/15/2013 - 4:00pm,11/18/2013,United States,Kentucky,Lexington,750 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Open
Theft,20133142,11/16/2013 - 10:30pm,11/17/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133144,11/17/2013 - 11:45pm,11/17/2013,United States,Kentucky,Lexington,301 HILLTOP AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20133116,11/14/2013 - 11:00pm,11/15/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133117,11/14/2013 - 4:30am,11/15/2013,United States,Kentucky,Lexington,HILLTOP AVE,"THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Open
Theft,20133119,11/11/2013 - 12:00pm,11/15/2013,United States,Kentucky,Lexington,1000 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20133120,11/15/2013 - 5:25pm,11/15/2013,United States,Kentucky,Lexington,1210 UNIVERSITY DR,"TBUT OR DISP FROM BUILDING $500 BUT U/$10,000/F",No,Open
